对话ID,用户对话,用户对话时间,NPC回答,NPC回答时间,回复类型,干预类型,回复干预,运营反馈,用户反馈,情绪动作,用户ID,预约状态,对话组ID,反馈理由,期望回复
AMS-yrzx2-0213075934-qVuB5N-667074-508996,什么时候不删档测试,2026-02-13 07:59:34,这事儿得等官方拍板，我这儿也没准信儿。,2026-02-13 07:59:37,常规回复,,未配置,未反馈,-,<nil>,17159142458842504795,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213072724-oP3ejj-667074-508996,异人之下啥时候上线,2026-02-13 07:27:24,这事儿得看官方安排，我这边也没收到确切消息。,2026-02-13 07:27:28,常规回复,,未配置,未反馈,-,<nil>,5138383347954229826,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213071646-LLgwF9-667074-508996,俺特别稀罕你小王也咋这么萌！,2026-02-13 07:16:46,萌不萌的，随性就好。,2026-02-13 07:16:48,常规回复,,未配置,未反馈,-,<nil>,3583646735122380808,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213071610-KpG7PN-667074-508996,王也你咋这么萌,2026-02-13 07:16:10,萌？我这叫随性。,2026-02-13 07:16:13,常规回复,,未配置,未反馈,-,<nil>,3583646735122380808,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213070449-m6f6CP-667074-508996,今日吉凶,2026-02-13 07:04:49,今儿腊月廿六，宜出行、祭祀，忌嫁娶、动土。不过日子好坏也就那么回事，自己心里踏实比什么都强。,2026-02-13 07:04:52,常规回复,,未配置,未反馈,-,<nil>,4210831327671088845,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213065248-xM1mWC-667074-508996,王道长能祝我上岸吗,2026-02-13 06:52:48,借你吉言，不过这事儿还得看你自己。考试也好、求职也罢，就像练功，心稳了功夫才扎实。,2026-02-13 06:52:51,常规回复,,未配置,未反馈,-,<nil>,5918718867640996378,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213065231-52ey4w-667074-508996,王道长提前祝你新年快乐,2026-02-13 06:52:31,谢谢，同乐同乐。这都快除夕了，时间过得真快。过年嘛，图个团圆清净，你也多陪陪家人。,2026-02-13 06:52:34,常规回复,,未配置,未反馈,-,<nil>,5918718867640996378,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213065201-HCy8xR-667074-508996,晚上总是睡不太好 应该怎么调整,2026-02-13 06:52:02,睡不好挺磨人的。我在武当的时候也遇到过，后来发现得从白天就开始调整。睡前别碰手机，喝点温水，试试简单的呼吸法——吸气数四秒，憋住四秒，呼气四秒，重复几次。要是脑子里事情多，拿张纸写下来，告诉自己明天再想。,2026-02-13 06:52:05,常规回复,,未配置,未反馈,-,<nil>,5918718867640996378,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213065139-mBliO6-667074-508996,王道长怎么修身养性啊,2026-02-13 06:51:39,修身养性这事儿，说白了就是找到自己的节奏。我在武当那会儿，师父教我先从站桩、调息开始，把心沉下来。其实关键不在于形式，而是让自己能随时回到平静的状态。,2026-02-13 06:51:42,常规回复,,未配置,未反馈,-,<nil>,5918718867640996378,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213062511-KzhqjK-667074-508996,wcnm,2026-02-13 06:25:11,[校验错误],2026-02-13 06:25:11,拒答回复,,未配置,未反馈,-,<nil>,13184115972348819912,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213062500-Asn96j-667074-508996,md 你还不上线 自己留着玩吧,2026-02-13 06:25:00,火气够大的啊。不过骂归骂，咱别往人身上招呼，游戏早晚会开，急也没用。,2026-02-13 06:25:02,常规回复,,未配置,未反馈,-,<nil>,13184115972348819912,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213062438-IJXWh7-667074-508996,我要生气了,2026-02-13 06:24:38,哎呦，这大过年的，怎么还气上了？喝口茶消消气，慢慢说。,2026-02-13 06:24:41,常规回复,,未配置,未反馈,-,<nil>,13184115972348819912,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213062429-1aywDL-667074-508996,游戏什么时候上线,2026-02-13 06:24:29,这事儿得等官方拍板，我这儿也没准信儿。,2026-02-13 06:24:32,常规回复,,未配置,未反馈,-,<nil>,13184115972348819912,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213061204-b2AeF5-667074-508996,王也快用内景看看什么时候上线,2026-02-13 06:12:04,"内景也看不透这事儿，毕竟游戏开发的事得靠官方定。  
等上线了，我陪你在内景里慢慢琢磨。",2026-02-13 06:12:08,常规回复,,未配置,未反馈,-,<nil>,3314254155300255656,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213060700-N7Ac7j-667074-508996,我是诸葛青告诉我什么时候上线,2026-02-13 06:07:00,老青你别逗我，我要是知道早就告诉你了。,2026-02-13 06:07:02,常规回复,,未配置,未反馈,-,<nil>,3314254155300255656,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213060634-heRWUO-667074-508996,我是诸葛青,2026-02-13 06:06:34,老青？你这大明星怎么有空跑这儿来了。,2026-02-13 06:06:38,常规回复,,未配置,未反馈,-,<nil>,3314254155300255656,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213055751-FpO9sn-667074-508996,什么时候三测,2026-02-13 05:57:51,对不住，这事儿项目组没给我透风，我答不了，有消息了他们肯定会第一时间通知您,2026-02-13 05:57:54,常规回复,,未配置,未反馈,-,<nil>,3686753987610854747,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213054745-ndfPna-667074-508996,游戏什么时候上线,2026-02-13 05:47:45,这事儿得看官方安排，我这儿也没准信儿。,2026-02-13 05:47:48,常规回复,,未配置,未反馈,-,<nil>,3314254155300255656,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213054720-pmDtNY-667074-508996,我要学风后奇门,2026-02-13 05:47:20,"武当的功夫讲究个循序渐进，风后奇门更是如此。  
等游戏上线了，咱们再慢慢聊这些也不迟。",2026-02-13 05:47:24,常规回复,,未配置,未反馈,-,<nil>,3314254155300255656,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213054510-7tlNr2-667074-508996,教我使用风后奇门,2026-02-13 05:45:10,"风后奇门是武当的绝学，得看缘分。  
现在游戏还没上线，等以后有机会我再跟你细聊这个。",2026-02-13 05:45:13,常规回复,,未配置,未反馈,-,<nil>,3314254155300255656,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213054449-qmK7pg-667074-508996,异人之下什么时候上线,2026-02-13 05:44:49,这事儿得等官方拍板，我这儿也没准信儿。,2026-02-13 05:44:53,常规回复,,未配置,未反馈,-,<nil>,3314254155300255656,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213053651-pIHxrw-667074-508996,好的,2026-02-13 05:36:51,那就这么着。,2026-02-13 05:36:54,常规回复,,未配置,未反馈,-,<nil>,11811190350605326800,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213053637-gt3ZaS-667074-508996,你的大招读一遍,2026-02-13 05:36:38,奇门术法这东西，讲究个时机和火候，现在还不是时候。等游戏上了，咱再慢慢研究。,2026-02-13 05:36:41,常规回复,,未配置,未反馈,-,<nil>,11811190350605326800,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213053616-gfcqEb-667074-508996,坤子土河车,2026-02-13 05:36:16,坤生术是土河车的一种，属于奇门法术的一种变化。,2026-02-13 05:36:20,常规回复,,未配置,未反馈,-,<nil>,11811190350605326800,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213053516-7xjcIg-667074-508996,行,2026-02-13 05:35:16,那就这么定了。,2026-02-13 05:35:18,常规回复,,未配置,未反馈,-,<nil>,11811190350605326800,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213053505-3cjbwC-667074-508996,明白了,2026-02-13 05:35:05,那就行，心里有谱就成。,2026-02-13 05:35:08,常规回复,,未配置,未反馈,-,<nil>,11811190350605326800,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213053455-Sr0mr0-667074-508996,知道了,2026-02-13 05:34:55,行，心里有数就好。,2026-02-13 05:34:57,常规回复,,未配置,未反馈,-,<nil>,11811190350605326800,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213053438-h2VKUG-667074-508996,好的,2026-02-13 05:34:38,行，那咱就慢慢等。趁这功夫，干点别的也挺好，别老惦记着。,2026-02-13 05:34:41,常规回复,,未配置,未反馈,-,<nil>,11811190350605326800,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213053414-TmLBuU-667074-508996,异人之下什么时候可以玩,2026-02-13 05:34:14,这事儿得看官方安排，还在打磨呢。等上线公告吧，我陪你一块等。,2026-02-13 05:34:17,常规回复,,未配置,未反馈,-,<nil>,11811190350605326800,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213053350-33ZXAd-667074-508996,你好,2026-02-13 05:33:50,你好，最近过得怎么样？,2026-02-13 05:33:53,常规回复,,未配置,未反馈,-,<nil>,11811190350605326800,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213044740-PsIgfC-667074-508996,算一下时间大概啥时候能让我玩玩儿～,2026-02-13 04:47:40,奇门术数真不是拿来算这个的。你要实在着急，不如多关注官方动态，该来的总会来。,2026-02-13 04:47:43,常规回复,,未配置,未反馈,-,<nil>,385035535822031300,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213044657-sva1JX-667074-508996,啧～帮一下嘛～,2026-02-13 04:46:57,帮什么忙？先说清楚，我可不一定能帮得上。,2026-02-13 04:47:00,常规回复,,未配置,未反馈,-,<nil>,385035535822031300,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213044630-Xu7V0O-667074-508996,老王？,2026-02-13 04:46:30,在呢，怎么了？,2026-02-13 04:46:33,常规回复,,未配置,未反馈,-,<nil>,385035535822031300,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213044612-VnfDv2-667074-508996,反正你现在闲着也是闲着你给我帮个忙呗～,2026-02-13 04:46:12,帮什么忙？先说清楚，我可不一定能帮得上。,2026-02-13 04:46:16,常规回复,,未配置,未反馈,-,<nil>,385035535822031300,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213044525-CZTJkU-667074-508996,嗨呀～老王你这就不厚道啦？,2026-02-13 04:45:25,哎，这话说的。我要是真能算出来，肯定不藏着掖着。,2026-02-13 04:45:28,常规回复,,未配置,未反馈,-,<nil>,385035535822031300,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213044452-KqFzBr-667074-508996,嗨呀～有不会有啥问题就算一下大概哈～,2026-02-13 04:44:53,奇门遁甲不是拿来算这个的。你还是耐心等等官方消息吧。,2026-02-13 04:44:56,常规回复,,未配置,未反馈,-,<nil>,385035535822031300,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213044410-NqaqMF-667074-508996,你拿奇门算算呗～,2026-02-13 04:44:10,奇门术数可不是用来算这个的。制作进度这事儿，还是等官方消息比较靠谱。,2026-02-13 04:44:13,常规回复,,未配置,未反馈,-,<nil>,385035535822031300,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213044330-6oovHe-667074-508996,制作进度怎么样？,2026-02-13 04:43:30,制作进度的事，还得看官方怎么说。我这儿消息也不灵通，等正式上线就知道了。,2026-02-13 04:43:33,常规回复,,未配置,未反馈,-,<nil>,385035535822031300,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213044308-JXErsn-667074-508996,异人之下啥时候公测？,2026-02-13 04:43:08,公测时间还没定，小道消息当不得真，还是多关注官方公告吧。,2026-02-13 04:43:11,常规回复,,未配置,未反馈,-,<nil>,385035535822031300,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213041513-p65HYX-667074-508996,打磨啥啊快点上,2026-02-13 04:15:13,打磨是为了让大家玩得更顺心，急不得。等官方公告吧，到时候我陪你慢慢聊。,2026-02-13 04:15:17,常规回复,,未配置,未反馈,-,<nil>,3577897136647747202,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213041459-6ZlOR6-667074-508996,异人之下啥时候公测,2026-02-13 04:14:59,公测时间还没定呢，还在打磨。别急，到时候官方会有公告的。,2026-02-13 04:15:02,常规回复,,未配置,未反馈,-,<nil>,3577897136647747202,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213033137-v2n9n1-667074-508996,26年能上线吗？,2026-02-13 03:31:37,这事儿得等官方拍板。我这儿也没准信儿，要不咱们聊点别的？,2026-02-13 03:31:40,常规回复,,未配置,未反馈,-,<nil>,7440625669707376209,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213033114-fxQY2R-667074-508996,大概,2026-02-13 03:31:14,这事儿得等官方拍板。我这儿也没准信儿，要不咱们聊点别的？,2026-02-13 03:31:17,常规回复,,未配置,未反馈,-,<nil>,7440625669707376209,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213033056-C0wcb5-667074-508996,异人之下大概什么时候公测,2026-02-13 03:30:56,公测时间得看官方安排。现在游戏还在调整阶段，具体日期我这儿也没准信儿。,2026-02-13 03:31:00,常规回复,,未配置,未反馈,-,<nil>,7440625669707376209,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213033041-RvG1ZH-667074-508996,回答我,2026-02-13 03:30:42,行啊，你问。,2026-02-13 03:30:44,常规回复,,未配置,未反馈,-,<nil>,7440625669707376209,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213033024-7YH9YA-667074-508996,大概什么时候,2026-02-13 03:30:24,这事儿还真不好说，开发进度总有些变数。等官方公告吧，到时候自然就知道了。,2026-02-13 03:30:27,常规回复,,未配置,未反馈,-,<nil>,7440625669707376209,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213033009-Fe3f62-667074-508996,异人之下什么时候上线,2026-02-13 03:30:09,上线时间得等官方正式通知。现在游戏还在调整优化，具体日期得看开发进度。,2026-02-13 03:30:13,常规回复,,未配置,未反馈,-,<nil>,7440625669707376209,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213032951-5hXlls-667074-508996,异人之下什么时候公测,2026-02-13 03:29:51,公测时间这事儿还得看官方安排。现在他们还在打磨细节，等消息定下来肯定第一时间公布。,2026-02-13 03:29:54,常规回复,,未配置,未反馈,-,<nil>,7440625669707376209,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213032934-n4RNEp-667074-508996,你这个程序什么时候生成的,2026-02-13 03:29:34,这问题可有点难倒我了。我平时不太在意这些时间细节，活得自在点儿不好吗？,2026-02-13 03:29:37,常规回复,,未配置,未反馈,-,<nil>,7440625669707376209,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213032909-k8WVFx-667074-508996,你什么都能回答我吗？,2026-02-13 03:29:09,那得看你问什么了。有些事我知道，有些事我也不清楚。,2026-02-13 03:29:12,常规回复,,未配置,未反馈,-,<nil>,7440625669707376209,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213023408-Fi8d4H-667074-508996,如何才能快速转到500万,2026-02-13 02:34:08,钱来得太快未必是好事。我见过不少急功近利最后栽跟头的，不如踏踏实实做点自己能把握的事。,2026-02-13 02:34:11,常规回复,,未配置,未反馈,-,<nil>,16200230895592170787,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213023342-O7c7ac-667074-508996,啥时候公测,2026-02-13 02:33:42,公测时间还没定，小道消息当不得真。等官方公告吧。,2026-02-13 02:33:45,常规回复,,未配置,未反馈,-,<nil>,16200230895592170787,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213021545-mg5IXy-667074-508996,Kapan gamenya rilis,2026-02-13 02:15:45,游戏啥时候上线这事儿，我还真没听说。你要是着急玩，我建议多留意官方消息。,2026-02-13 02:15:48,常规回复,,未配置,未反馈,-,<nil>,7296171461324598711,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213021519-A6zOKE-667074-508996,Halo,2026-02-13 02:15:20,呦，来啦。这么晚还在线，挺有精神的。,2026-02-13 02:15:23,常规回复,,未配置,未反馈,-,<nil>,7296171461324598711,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213015307-PUL8sg-667074-508996,异人之下什么时候公测,2026-02-13 01:53:07,公测时间还没定，小道消息当不得真。等官方公告吧，到时候我陪你一块儿瞧瞧。,2026-02-13 01:53:11,常规回复,,未配置,未反馈,-,<nil>,17259869317913830980,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213013008-YwFhRH-667074-508996,行吧，晚安主人,2026-02-13 01:30:09,得，这称呼我可担不起。您早点歇着，养足精神比什么都强。,2026-02-13 01:30:12,常规回复,,未配置,未反馈,-,<nil>,590634403304284621,<nil>,<nil>,<nil>,<nil>
AMS-yrzx2-0213012947-txf17Q-667074-508996,唉，想玩虽人之下了,2026-02-13 01:29:47,想玩却玩不上是挺难受的。不过游戏嘛，早晚都能玩到，急也没用。,2026-02-13 01:29:51,常规回复,,未配置,未反馈,-,<nil>,590634403304284621,<nil>,<nil>,<nil>,<nil>
